ID,Gender,InterpYears,Promoted,TimeSpentAtRank,Left,STEM,CurrRank,Age,RetirementAge
3,Male,2025,1,2,1,STEM,3,46,0
4,Female,1995,0,1,0,nonSTEM,1,28,0
4,Female,1996,0,2,0,nonSTEM,1,29,0
4,Female,1997,0,3,0,nonSTEM,1,30,0
4,Female,1998,0,4,0,nonSTEM,1,31,0
4,Female,1999,0,5,0,nonSTEM,1,32,0
4,Female,2000,0,6,0,nonSTEM,1,33,0
4,Female,2001,0,7,0,nonSTEM,1,34,0
4,Female,2002,0,8,0,nonSTEM,1,35,0
4,Female,2003,0,9,0,nonSTEM,1,36,0
4,Female,2004,1,10,0,nonSTEM,1,37,0
4,Female,2005,0,1,0,nonSTEM,2,38,0
4,Female,2006,0,2,0,nonSTEM,2,39,0
4,Female,2007,0,3,0,nonSTEM,2,40,0
4,Female,2008,0,4,0,nonSTEM,2,41,0
4,Female,2009,0,5,1,nonSTEM,2,42,0
5,Male,2012,0,1,0,nonSTEM,1,27,0
5,Male,2013,0,2,0,nonSTEM,1,28,0
5,Male,2014,0,3,0,nonSTEM,1,29,0
5,Male,2015,0,4,0,nonSTEM,1,30,0
5,Male,2016,0,5,0,nonSTEM,1,31,0
5,Male,2017,0,6,0,nonSTEM,1,32,0
5,Male,2018,0,7,0,nonSTEM,1,33,0
5,Male,2019,1,8,0,nonSTEM,1,34,0
5,Male,2020,1,1,0,nonSTEM,2,35,0
5,Male,2021,0,1,0,nonSTEM,3,36,0
5,Male,2022,0,2,0,nonSTEM,3,37,0
5,Male,2023,0,3,0,nonSTEM,3,38,0
5,Male,2024,0,4,0,nonSTEM,3,39,0
5,Male,2025,0,5,1,nonSTEM,3,40,0
6,Male,1991,0,1,0,nonSTEM,1,32,0
6,Male,1992,0,2,0,nonSTEM,1,33,0
6,Male,1993,0,3,0,nonSTEM,1,34,0
6,Male,1994,1,4,0,nonSTEM,1,35,0
6,Male,1995,0,1,0,nonSTEM,2,36,0
6,Male,1996,0,2,0,nonSTEM,2,37,0
6,Male,1997,0,3,0,nonSTEM,2,38,0
6,Male,1998,0,4,0,nonSTEM,2,39,0
6,Male,1999,0,5,0,nonSTEM,2,40,0
6,Male,2000,0,6,0,nonSTEM,2,41,0
6,Male,2001,0,7,0,nonSTEM,2,42,0
6,Male,2002,0,8,0,nonSTEM,2,43,0
6,Male,2003,0,9,0,nonSTEM,2,44,0
6,Male,2004,1,10,0,nonSTEM,2,45,0
6,Male,2005,0,1,0,nonSTEM,3,46,0
6,Male,2006,0,2,0,nonSTEM,3,47,0
6,Male,2007,0,3,1,nonSTEM,3,48,0
7,Male,2004,0,1,0,STEM,1,31,0
7,Male,2005,0,2,0,STEM,1,32,0
7,Male,2006,0,3,0,STEM,1,33,0
7,Male,2007,0,4,0,STEM,1,34,0
7,Male,2008,0,5,0,STEM,1,35,0
7,Male,2009,0,6,0,STEM,1,36,0
7,Male,2010,1,7,1,STEM,1,37,0
8,Male,1994,0,1,0,STEM,1,35,0
8,Male,1995,0,2,0,STEM,1,36,0
8,Male,1996,0,3,0,STEM,1,37,0
8,Male,1997,1,4,0,STEM,1,38,0
8,Male,1998,0,1,0,STEM,2,39,0
8,Male,1999,0,2,0,STEM,2,40,0
8,Male,2000,0,3,0,STEM,2,41,0
8,Male,2001,0,4,0,STEM,2,42,0
8,Male,2002,1,5,0,STEM,2,43,0
8,Male,2003,0,1,0,STEM,3,44,0
8,Male,2004,0,2,0,STEM,3,45,0
8,Male,2005,0,3,0,STEM,3,46,0
8,Male,2006,0,4,0,STEM,3,47,0
8,Male,2007,0,5,0,STEM,3,48,0
8,Male,2008,0,6,0,STEM,3,49,0
8,Male,2009,0,7,0,STEM,3,50,0
8,Male,2010,0,8,0,STEM,3,51,0
8,Male,2011,0,9,0,STEM,3,52,0
8,Male,2012,1,10,0,STEM,3,53,0
8,Male,2013,0,1,0,STEM,4,54,0
8,Male,2014,0,2,0,STEM,4,55,0
8,Male,2015,0,3,0,STEM,4,56,0
8,Male,2016,0,4,1,STEM,4,57,0
9,Male,1997,0,1,0,STEM,1,29,0
9,Male,1998,0,2,0,STEM,1,30,0
9,Male,1999,0,3,0,STEM,1,31,0
9,Male,2000,1,4,0,STEM,1,32,0
9,Male,2001,0,1,0,STEM,2,33,0
9,Male,2002,0,2,0,STEM,2,34,0
9,Male,2003,0,3,0,STEM,2,35,0
9,Male,2004,0,4,0,STEM,2,36,0
9,Male,2005,0,5,0,STEM,2,37,0
9,Male,2006,1,6,0,STEM,2,38,0
9,Male,2007,0,1,0,STEM,3,39,0
9,Male,2008,0,2,0,STEM,3,40,0
9,Male,2009,0,3,0,STEM,3,41,0
9,Male,2010,0,4,0,STEM,3,42,0
9,Male,2011,0,5,0,STEM,3,43,0
9,Male,2012,0,6,0,STEM,3,44,0
9,Male,2013,0,7,0,STEM,3,45,0
9,Male,2014,0,8,0,STEM,3,46,0
9,Male,2015,0,9,0,STEM,3,47,0
9,Male,2016,1,10,0,STEM,3,48,0
9,Male,2017,0,1,0,STEM,4,49,0
9,Male,2018,0,2,0,STEM,4,50,0
9,Male,2019,0,3,0,STEM,4,51,0
9,Male,2020,0,4,0,STEM,4,52,0
9,Male,2021,0,5,1,STEM,4,53,0
10,Male,1990,0,1,0,STEM,1,29,0
10,Male,1991,0,2,0,STEM,1,30,0
10,Male,1992,0,3,0,STEM,1,31,0
10,Male,1993,0,4,0,STEM,1,32,0
10,Male,1994,0,5,0,STEM,1,33,0
10,Male,1995,0,6,0,STEM,1,34,0
10,Male,1996,0,7,0,STEM,1,35,0
10,Male,1997,1,8,0,STEM,1,36,0
10,Male,1998,0,1,0,STEM,2,37,0
10,Male,1999,0,2,0,STEM,2,38,0
10,Male,2000,0,3,0,STEM,2,39,0
10,Male,2001,0,4,0,STEM,2,40,0
10,Male,2002,1,5,0,STEM,2,41,0
10,Male,2003,0,1,0,STEM,3,42,0
10,Male,2004,0,2,0,STEM,3,43,0
10,Male,2005,0,3,0,STEM,3,44,0
10,Male,2006,0,4,0,STEM,3,45,0
10,Male,2007,0,5,0,STEM,3,46,0
10,Male,2008,0,6,0,STEM,3,47,0
10,Male,2009,0,7,0,STEM,3,48,0
10,Male,2010,0,8,1,STEM,3,49,0
11,Female,1997,0,1,0,nonSTEM,1,37,0
11,Female,1998,0,2,0,nonSTEM,1,38,0
11,Female,1999,0,3,0,nonSTEM,1,39,0
11,Female,2000,1,4,0,nonSTEM,1,40,0
11,Female,2001,0,1,0,nonSTEM,2,41,0
11,Female,2002,0,2,0,nonSTEM,2,42,0
11,Female,2003,0,3,0,nonSTEM,2,43,0
11,Female,2004,0,4,0,nonSTEM,2,44,0
11,Female,2005,0,5,0,nonSTEM,2,45,0
11,Female,2006,0,6,0,nonSTEM,2,46,0
11,Female,2007,0,7,0,nonSTEM,2,47,0
11,Female,2008,1,8,0,nonSTEM,2,48,0
11,Female,2009,0,1,0,nonSTEM,3,49,0
11,Female,2010,0,2,0,nonSTEM,3,50,0
11,Female,2011,0,3,0,nonSTEM,3,51,0
11,Female,2012,0,4,0,nonSTEM,3,52,0
11,Female,2013,0,5,0,nonSTEM,3,53,0
11,Female,2014,0,6,0,nonSTEM,3,54,0
11,Female,2015,0,7,0,nonSTEM,3,55,0
11,Female,2016,0,8,0,nonSTEM,3,56,0
11,Female,2017,0,9,0,nonSTEM,3,57,0
11,Female,2018,0,10,1,nonSTEM,3,58,0
12,Female,1998,0,1,0,STEM,1,30,0
12,Female,1999,0,2,0,STEM,1,31,0
12,Female,2000,0,3,0,STEM,1,32,0
12,Female,2001,0,4,0,STEM,1,33,0
12,Female,2002,0,5,0,STEM,1,34,0
12,Female,2003,0,6,0,STEM,1,35,0
12,Female,2004,0,7,0,STEM,1,36,0
12,Female,2005,0,8,0,STEM,1,37,0
12,Female,2006,0,9,0,STEM,1,38,0
12,Female,2007,1,10,0,STEM,1,39,0
12,Female,2008,0,1,0,STEM,2,40,0
12,Female,2009,1,2,0,STEM,2,41,0
12,Female,2010,0,1,0,STEM,3,42,0
12,Female,2011,0,2,0,STEM,3,43,0
12,Female,2012,0,3,0,STEM,3,44,0
12,Female,2013,0,4,1,STEM,3,45,0
13,Male,1993,0,1,0,STEM,1,29,0
13,Male,1994,0,2,0,STEM,1,30,0
13,Male,1995,0,3,0,STEM,1,31,0
13,Male,1996,0,4,0,STEM,1,32,0
13,Male,1997,1,5,0,STEM,1,33,0
13,Male,1998,0,1,0,STEM,2,34,0
13,Male,1999,0,2,0,STEM,2,35,0
13,Male,2000,0,3,0,STEM,2,36,0
13,Male,2001,0,4,0,STEM,2,37,0
13,Male,2002,0,5,0,STEM,2,38,0
13,Male,2003,1,6,0,STEM,2,39,0
13,Male,2004,0,1,0,STEM,3,40,0
13,Male,2005,0,2,0,STEM,3,41,0
13,Male,2006,0,3,0,STEM,3,42,0
13,Male,2007,0,4,0,STEM,3,43,0
13,Male,2008,0,5,0,STEM,3,44,0
13,Male,2009,0,6,0,STEM,3,45,0
13,Male,2010,0,7,0,STEM,3,46,0
13,Male,2011,1,8,0,STEM,3,47,0
13,Male,2012,0,1,0,STEM,4,48,0
13,Male,2013,0,2,0,STEM,4,49,0
13,Male,2014,0,3,0,STEM,4,50,0
13,Male,2015,0,4,0,STEM,4,51,0
13,Male,2016,0,5,0,STEM,4,52,0
13,Male,2017,0,6,1,STEM,4,53,0
14,Male,2000,0,1,0,STEM,1,31,0
14,Male,2001,0,2,0,STEM,1,32,0
14,Male,2002,0,3,0,STEM,1,33,0
14,Male,2003,0,4,0,STEM,1,34,0
14,Male,2004,0,5,0,STEM,1,35,0
14,Male,2005,0,6,0,STEM,1,36,0
14,Male,2006,0,7,0,STEM,1,37,0
14,Male,2007,1,8,0,STEM,1,38,0
14,Male,2008,0,1,0,STEM,2,39,0
14,Male,2009,0,2,0,STEM,2,40,0
14,Male,2010,0,3,0,STEM,2,41,0
14,Male,2011,0,4,0,STEM,2,42,0
14,Male,2012,0,5,0,STEM,2,43,0
14,Male,2013,1,6,1,STEM,2,44,0
15,Male,1992,0,1,0,STEM,1,27,0
15,Male,1993,0,2,0,STEM,1,28,0
15,Male,1994,0,3,0,STEM,1,29,0
15,Male,1995,0,4,0,STEM,1,30,0
15,Male,1996,0,5,0,STEM,1,31,0
15,Male,1997,0,6,0,STEM,1,32,0
15,Male,1998,0,7,0,STEM,1,33,0
15,Male,1999,0,8,0,STEM,1,34,0
15,Male,2000,0,9,0,STEM,1,35,0
15,Male,2001,1,10,0,STEM,1,36,0
15,Male,2002,0,1,0,STEM,2,37,0
15,Male,2003,0,2,0,STEM,2,38,0
15,Male,2004,0,3,0,STEM,2,39,0
15,Male,2005,0,4,0,STEM,2,40,0
15,Male,2006,0,5,0,STEM,2,41,0
15,Male,2007,0,6,0,STEM,2,42,0
15,Male,2008,1,7,0,STEM,2,43,0
15,Male,2009,0,1,0,STEM,3,44,0
15,Male,2010,0,2,1,STEM,3,45,0
16,Male,2012,0,1,0,STEM,1,26,0
16,Male,2013,0,2,0,STEM,1,27,0
16,Male,2014,0,3,0,STEM,1,28,0
16,Male,2015,0,4,0,STEM,1,29,0
16,Male,2016,0,5,0,STEM,1,30,0
16,Male,2017,0,6,0,STEM,1,31,0
16,Male,2018,1,7,0,STEM,1,32,0
16,Male,2019,0,1,0,STEM,2,33,0
16,Male,2020,0,2,0,STEM,2,34,0
16,Male,2021,0,3,0,STEM,2,35,0
16,Male,2022,0,4,0,STEM,2,36,0
16,Male,2023,0,5,0,STEM,2,37,0
16,Male,2024,0,6,0,STEM,2,38,0
16,Male,2025,0,7,1,STEM,2,39,0
17,Male,2006,0,1,0,nonSTEM,1,27,0
17,Male,2007,0,2,0,nonSTEM,1,28,0
17,Male,2008,0,3,0,nonSTEM,1,29,0
17,Male,2009,1,4,0,nonSTEM,1,30,0
17,Male,2010,0,1,0,nonSTEM,2,31,0
17,Male,2011,0,2,0,nonSTEM,2,32,0
17,Male,2012,0,3,0,nonSTEM,2,33,0
17,Male,2013,0,4,0,nonSTEM,2,34,0
17,Male,2014,0,5,0,nonSTEM,2,35,0
17,Male,2015,0,6,0,nonSTEM,2,36,0
17,Male,2016,0,7,0,nonSTEM,2,37,0
17,Male,2017,0,8,0,nonSTEM,2,38,0
17,Male,2018,1,9,0,nonSTEM,2,39,0
17,Male,2019,0,1,0,nonSTEM,3,40,0
17,Male,2020,0,2,0,nonSTEM,3,41,0
17,Male,2021,0,3,1,nonSTEM,3,42,0
18,Male,2008,0,1,0,STEM,1,32,0
18,Male,2009,0,2,0,STEM,1,33,0
18,Male,2010,0,3,0,STEM,1,34,0
18,Male,2011,0,4,0,STEM,1,35,0
18,Male,2012,0,5,1,STEM,1,36,0
19,Female,2009,0,1,0,STEM,1,28,0
19,Female,2010,0,2,0,STEM,1,29,0
19,Female,2011,0,3,0,STEM,1,30,0
19,Female,2012,0,4,0,STEM,1,31,0
19,Female,2013,0,5,0,STEM,1,32,0
19,Female,2014,0,6,0,STEM,1,33,0
19,Female,2015,1,7,0,STEM,1,34,0
19,Female,2016,0,1,0,STEM,2,35,0
19,Female,2017,0,2,0,STEM,2,36,0
19,Female,2018,0,3,0,STEM,2,37,0
19,Female,2019,0,4,0,STEM,2,38,0
19,Female,2020,0,5,0,STEM,2,39,0
19,Female,2021,0,6,0,STEM,2,40,0
19,Female,2022,0,7,0,STEM,2,41,0
19,Female,2023,0,8,0,STEM,2,42,0
19,Female,2024,0,9,0,STEM,2,43,0
19,Female,2025,0,10,1,STEM,2,44,0
20,Female,1992,0,1,0,nonSTEM,1,33,0
20,Female,1993,0,2,0,nonSTEM,1,34,0
20,Female,1994,0,3,0,nonSTEM,1,35,0
20,Female,1995,0,4,0,nonSTEM,1,36,0
20,Female,1996,0,5,0,nonSTEM,1,37,0
20,Female,1997,1,6,0,nonSTEM,1,38,0
20,Female,1998,0,1,0,nonSTEM,2,39,0
20,Female,1999,0,2,0,nonSTEM,2,40,0
20,Female,2000,1,3,0,nonSTEM,2,41,0
20,Female,2001,0,1,0,nonSTEM,3,42,0
20,Female,2002,0,2,0,nonSTEM,3,43,0
20,Female,2003,0,3,0,nonSTEM,3,44,0
20,Female,2004,0,4,0,nonSTEM,3,45,0
20,Female,2005,0,5,0,nonSTEM,3,46,0
20,Female,2006,0,6,0,nonSTEM,3,47,0
20,Female,2007,0,7,0,nonSTEM,3,48,0
20,Female,2008,0,8,0,nonSTEM,3,49,0
20,Female,2009,0,9,0,nonSTEM,3,50,0
20,Female,2010,0,10,0,nonSTEM,3,51,0
20,Female,2011,0,11,0,nonSTEM,3,52,0
20,Female,2012,0,12,0,nonSTEM,3,53,0
20,Female,2013,0,13,0,nonSTEM,3,54,0
20,Female,2014,1,14,0,nonSTEM,3,55,0
20,Female,2015,0,1,0,nonSTEM,4,56,0
20,Female,2016,0,2,0,nonSTEM,4,57,0
20,Female,2017,0,3,0,nonSTEM,4,58,0
20,Female,2018,0,4,1,nonSTEM,4,59,0
21,Female,2006,1,1,0,nonSTEM,1,33,0
21,Female,2007,0,1,0,nonSTEM,2,34,0
21,Female,2008,0,2,0,nonSTEM,2,35,0
21,Female,2009,0,3,0,nonSTEM,2,36,0
21,Female,2010,0,4,0,nonSTEM,2,37,0
21,Female,2011,0,5,0,nonSTEM,2,38,0
21,Female,2012,0,6,0,nonSTEM,2,39,0
21,Female,2013,1,7,0,nonSTEM,2,40,0
21,Female,2014,1,1,0,nonSTEM,3,41,0
21,Female,2015,0,1,0,nonSTEM,4,42,0
21,Female,2016,0,2,0,nonSTEM,4,43,0
21,Female,2017,0,3,0,nonSTEM,4,44,0
21,Female,2018,0,4,0,nonSTEM,4,45,0
21,Female,2019,0,5,0,nonSTEM,4,46,0
21,Female,2020,0,6,0,nonSTEM,4,47,0
21,Female,2021,0,7,0,nonSTEM,4,48,0
21,Female,2022,0,8,0,nonSTEM,4,49,0
21,Female,2023,0,9,0,nonSTEM,4,50,0
21,Female,2024,0,10,1,nonSTEM,4,51,0
22,Male,1992,0,1,0,STEM,1,27,0
22,Male,1993,0,2,0,STEM,1,28,0
22,Male,1994,0,3,0,STEM,1,29,0
22,Male,1995,0,4,0,STEM,1,30,0
22,Male,1996,0,5,0,STEM,1,31,0
22,Male,1997,0,6,0,STEM,1,32,0
22,Male,1998,0,7,1,STEM,1,33,0
23,Male,2004,0,1,0,STEM,1,35,0
23,Male,2005,0,2,0,STEM,1,36,0
23,Male,2006,0,3,0,STEM,1,37,0
23,Male,2007,0,4,0,STEM,1,38,0
23,Male,2008,0,5,0,STEM,1,39,0
23,Male,2009,0,6,0,STEM,1,40,0
23,Male,2010,0,7,0,STEM,1,41,0
23,Male,2011,1,8,0,STEM,1,42,0
23,Male,2012,0,1,0,STEM,2,43,0
23,Male,2013,0,2,0,STEM,2,44,0
23,Male,2014,0,3,0,STEM,2,45,0
23,Male,2015,0,4,1,STEM,2,46,0
24,Male,2007,0,1,0,STEM,1,29,0
24,Male,2008,0,2,0,STEM,1,30,0
24,Male,2009,0,3,0,STEM,1,31,0
24,Male,2010,0,4,0,STEM,1,32,0
24,Male,2011,1,5,0,STEM,1,33,0
24,Male,2012,0,1,0,STEM,2,34,0
24,Male,2013,0,2,0,STEM,2,35,0
24,Male,2014,0,3,0,STEM,2,36,0
24,Male,2015,0,4,0,STEM,2,37,0
24,Male,2016,0,5,1,STEM,2,38,0
25,Female,2008,0,1,0,STEM,1,32,0
25,Female,2009,0,2,0,STEM,1,33,0
25,Female,2010,0,3,0,STEM,1,34,0
25,Female,2011,0,4,0,STEM,1,35,0
25,Female,2012,0,5,0,STEM,1,36,0
25,Female,2013,0,6,0,STEM,1,37,0
25,Female,2014,0,7,0,STEM,1,38,0
25,Female,2015,1,8,0,STEM,1,39,0
25,Female,2016,0,1,0,STEM,2,40,0
25,Female,2017,0,2,0,STEM,2,41,0
25,Female,2018,0,3,0,STEM,2,42,0
25,Female,2019,0,4,0,STEM,2,43,0
25,Female,2020,0,5,0,STEM,2,44,0
25,Female,2021,0,6,0,STEM,2,45,0
25,Female,2022,0,7,0,STEM,2,46,0
25,Female,2023,1,8,0,STEM,2,47,0
25,Female,2024,0,1,0,STEM,3,48,0
25,Female,2025,0,2,1,STEM,3,49,0
26,Female,2000,0,1,0,nonSTEM,1,33,0
26,Female,2001,0,2,0,nonSTEM,1,34,0
26,Female,2002,0,3,0,nonSTEM,1,35,0
26,Female,2003,0,4,0,nonSTEM,1,36,0
26,Female,2004,0,5,0,nonSTEM,1,37,0
26,Female,2005,0,6,0,nonSTEM,1,38,0
26,Female,2006,0,7,0,nonSTEM,1,39,0
26,Female,2007,0,8,0,nonSTEM,1,40,0
26,Female,2008,0,9,0,nonSTEM,1,41,0
26,Female,2009,1,10,0,nonSTEM,1,42,0
26,Female,2010,0,1,0,nonSTEM,2,43,0
26,Female,2011,0,2,0,nonSTEM,2,44,0
26,Female,2012,0,3,0,nonSTEM,2,45,0
26,Female,2013,0,4,0,nonSTEM,2,46,0
26,Female,2014,0,5,0,nonSTEM,2,47,0
26,Female,2015,0,6,0,nonSTEM,2,48,0
26,Female,2016,1,7,0,nonSTEM,2,49,0
26,Female,2017,0,1,0,nonSTEM,3,50,0
26,Female,2018,0,2,0,nonSTEM,3,51,0
26,Female,2019,0,3,0,nonSTEM,3,52,0
26,Female,2020,0,4,0,nonSTEM,3,53,0
26,Female,2021,0,5,1,nonSTEM,3,54,0
27,Male,2001,0,1,0,nonSTEM,1,29,0
27,Male,2002,0,2,0,nonSTEM,1,30,0
27,Male,2003,0,3,0,nonSTEM,1,31,0
27,Male,2004,1,4,0,nonSTEM,1,32,0
27,Male,2005,0,1,0,nonSTEM,2,33,0
27,Male,2006,0,2,0,nonSTEM,2,34,0
27,Male,2007,0,3,1,nonSTEM,2,35,0
28,Female,2012,0,1,0,STEM,1,34,0
28,Female,2013,0,2,0,STEM,1,35,0
28,Female,2014,1,3,0,STEM,1,36,0
28,Female,2015,0,1,0,STEM,2,37,0
28,Female,2016,0,2,0,STEM,2,38,0
28,Female,2017,0,3,0,STEM,2,39,0
28,Female,2018,0,4,1,STEM,2,40,0
29,Female,1995,0,1,0,nonSTEM,1,30,0
29,Female,1996,0,2,0,nonSTEM,1,31,0
29,Female,1997,0,3,0,nonSTEM,1,32,0
29,Female,1998,0,4,0,nonSTEM,1,33,0
29,Female,1999,0,5,0,nonSTEM,1,34,0
29,Female,2000,0,6,0,nonSTEM,1,35,0
29,Female,2001,0,7,0,nonSTEM,1,36,0
29,Female,2002,1,8,0,nonSTEM,1,37,0
29,Female,2003,0,1,0,nonSTEM,2,38,0
29,Female,2004,0,2,0,nonSTEM,2,39,0
29,Female,2005,0,3,0,nonSTEM,2,40,0
29,Female,2006,0,4,0,nonSTEM,2,41,0
29,Female,2007,0,5,0,nonSTEM,2,42,0
29,Female,2008,0,6,0,nonSTEM,2,43,0
29,Female,2009,0,7,0,nonSTEM,2,44,0
29,Female,2010,0,8,0,nonSTEM,2,45,0
29,Female,2011,1,9,0,nonSTEM,2,46,0
29,Female,2012,0,1,0,nonSTEM,3,47,0
29,Female,2013,0,2,0,nonSTEM,3,48,0
29,Female,2014,0,3,0,nonSTEM,3,49,0
29,Female,2015,0,4,0,nonSTEM,3,50,0
29,Female,2016,0,5,0,nonSTEM,3,51,0
29,Female,2017,0,6,0,nonSTEM,3,52,0
29,Female,2018,0,7,0,nonSTEM,3,53,0
29,Female,2019,0,8,0,nonSTEM,3,54,0
29,Female,2020,0,9,0,nonSTEM,3,55,0
29,Female,2021,0,10,1,nonSTEM,3,56,0
30,Female,2012,0,1,0,nonSTEM,1,33,0
30,Female,2013,0,2,0,nonSTEM,1,34,0
30,Female,2014,0,3,0,nonSTEM,1,35,0
30,Female,2015,0,4,0,nonSTEM,1,36,0
30,Female,2016,0,5,0,nonSTEM,1,37,0
30,Female,2017,0,6,0,nonSTEM,1,38,0
30,Female,2018,0,7,0,nonSTEM,1,39,0
30,Female,2019,1,8,0,nonSTEM,1,40,0
30,Female,2020,0,1,0,nonSTEM,2,41,0
30,Female,2021,0,2,0,nonSTEM,2,42,0
30,Female,2022,0,3,0,nonSTEM,2,43,0
30,Female,2023,0,4,0,nonSTEM,2,44,0
30,Female,2024,0,5,0,nonSTEM,2,45,0
30,Female,2025,0,6,1,nonSTEM,2,46,0
31,Male,2001,1,1,0,nonSTEM,1,32,0
31,Male,2002,0,1,0,nonSTEM,2,33,0
31,Male,2003,0,2,0,nonSTEM,2,34,0
31,Male,2004,0,3,0,nonSTEM,2,35,0
31,Male,2005,0,4,0,nonSTEM,2,36,0
31,Male,2006,0,5,0,nonSTEM,2,37,0
31,Male,2007,0,6,1,nonSTEM,2,38,0
32,Female,1998,0,1,0,nonSTEM,1,25,0
32,Female,1999,0,2,0,nonSTEM,1,26,0
32,Female,2000,0,3,0,nonSTEM,1,27,0
32,Female,2001,0,4,0,nonSTEM,1,28,0
32,Female,2002,0,5,0,nonSTEM,1,29,0
32,Female,2003,0,6,0,nonSTEM,1,30,0
32,Female,2004,0,7,0,nonSTEM,1,31,0
32,Female,2005,0,8,0,nonSTEM,1,32,0
32,Female,2006,0,9,1,nonSTEM,1,33,0
33,Male,1998,0,1,0,nonSTEM,1,26,0
33,Male,1999,0,2,0,nonSTEM,1,27,0
33,Male,2000,0,3,0,nonSTEM,1,28,0
33,Male,2001,0,4,0,nonSTEM,1,29,0
33,Male,2002,0,5,0,nonSTEM,1,30,0
33,Male,2003,0,6,0,nonSTEM,1,31,0
33,Male,2004,1,7,0,nonSTEM,1,32,0
33,Male,2005,0,1,0,nonSTEM,2,33,0
33,Male,2006,0,2,0,nonSTEM,2,34,0
33,Male,2007,0,3,0,nonSTEM,2,35,0
33,Male,2008,0,4,0,nonSTEM,2,36,0
33,Male,2009,0,5,0,nonSTEM,2,37,0
33,Male,2010,0,6,0,nonSTEM,2,38,0
33,Male,2011,1,7,0,nonSTEM,2,39,0
33,Male,2012,0,1,1,nonSTEM,3,40,0
34,Female,1991,0,1,0,nonSTEM,1,34,0
34,Female,1992,0,2,0,nonSTEM,1,35,0
34,Female,1993,0,3,0,nonSTEM,1,36,0
34,Female,1994,0,4,0,nonSTEM,1,37,0
34,Female,1995,0,5,0,nonSTEM,1,38,0
34,Female,1996,0,6,0,nonSTEM,1,39,0
34,Female,1997,1,7,0,nonSTEM,1,40,0
34,Female,1998,0,1,0,nonSTEM,2,41,0
34,Female,1999,0,2,0,nonSTEM,2,42,0
34,Female,2000,1,3,0,nonSTEM,2,43,0
34,Female,2001,0,1,0,nonSTEM,3,44,0
34,Female,2002,0,2,1,nonSTEM,3,45,0
35,Female,2004,0,1,0,STEM,1,25,0
35,Female,2005,0,2,0,STEM,1,26,0
35,Female,2006,0,3,0,STEM,1,27,0
35,Female,2007,0,4,0,STEM,1,28,0
35,Female,2008,0,5,0,STEM,1,29,0
35,Female,2009,1,6,0,STEM,1,30,0
35,Female,2010,0,1,0,STEM,2,31,0
35,Female,2011,0,2,0,STEM,2,32,0
35,Female,2012,0,3,0,STEM,2,33,0
35,Female,2013,0,4,0,STEM,2,34,0
35,Female,2014,0,5,0,STEM,2,35,0
35,Female,2015,0,6,0,STEM,2,36,0
35,Female,2016,0,7,0,STEM,2,37,0
35,Female,2017,1,8,0,STEM,2,38,0
35,Female,2018,0,1,0,STEM,3,39,0
35,Female,2019,0,2,0,STEM,3,40,0
35,Female,2020,0,3,0,STEM,3,41,0
35,Female,2021,0,4,0,STEM,3,42,0
35,Female,2022,0,5,0,STEM,3,43,0
35,Female,2023,0,6,0,STEM,3,44,0
35,Female,2024,0,7,0,STEM,3,45,0
35,Female,2025,0,8,1,STEM,3,46,0
36,Male,1999,0,1,0,STEM,1,32,0
36,Male,2000,0,2,0,STEM,1,33,0
